IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
256,16195,B,32.100554,-28.415226,4c696d87-45c7-e611-afeb-00505698216f,3774
257,16196,B,32.09894,-28.414138,4d696d87-45c7-e611-afeb-00505698216f,3772
258,16197,B,32.096323,-28.412416,4e696d87-45c7-e611-afeb-00505698216f,3772
259,16198,B,32.09701,-28.411466,4f696d87-45c7-e611-afeb-00505698216f,3772
260,16200,B,32.134342,-28.405223,50696d87-45c7-e611-afeb-00505698216f,1336
261,16201,B,32.133716,-28.405772,51696d87-45c7-e611-afeb-00505698216f,1336
262,16202,B,32.133316,-28.406127,52696d87-45c7-e611-afeb-00505698216f,1336
263,16205,B,32.132076,-28.406024,53696d87-45c7-e611-afeb-00505698216f,1337
264,16206,B,32.132549,-28.406988,54696d87-45c7-e611-afeb-00505698216f,1337
265,16208,B,32.120903,-28.405394,55696d87-45c7-e611-afeb-00505698216f,920
266,16209,B,32.120838,-28.404866,56696d87-45c7-e611-afeb-00505698216f,920
267,16211,B,32.122558,-28.403132,57696d87-45c7-e611-afeb-00505698216f,921
268,16212,B,32.122047,-28.404109,58696d87-45c7-e611-afeb-00505698216f,920
269,16213,B,32.12202,-28.402712,59696d87-45c7-e611-afeb-00505698216f,922
270,16214,B,32.123046,-28.402073,5a696d87-45c7-e611-afeb-00505698216f,922
271,16215,B,32.117842,-28.403218,5b696d87-45c7-e611-afeb-00505698216f,923
272,16216,B,32.118216,-28.402175,5c696d87-45c7-e611-afeb-00505698216f,923
273,16217,B,32.119277,-28.402684,5d696d87-45c7-e611-afeb-00505698216f,922
274,16219,B,32.172532,-28.386734,5e696d87-45c7-e611-afeb-00505698216f,1204
275,16223,B,32.171387,-28.386943,5f696d87-45c7-e611-afeb-00505698216f,1138
276,16224,B,32.171074,-28.387676,60696d87-45c7-e611-afeb-00505698216f,1277
277,16225,B,32.173264,-28.38672,61696d87-45c7-e611-afeb-00505698216f,1204
278,16226,B,32.173878,-28.38623,62696d87-45c7-e611-afeb-00505698216f,1202
279,16227,B,32.169175,-28.395655,63696d87-45c7-e611-afeb-00505698216f,1220
280,16228,B,32.169709,-28.39569,64696d87-45c7-e611-afeb-00505698216f,1217
281,16229,B,32.170083,-28.395135,65696d87-45c7-e611-afeb-00505698216f,1217
282,16231,B,32.170395,-28.396147,66696d87-45c7-e611-afeb-00505698216f,1217
283,16233,B,32.17091,-28.396519,67696d87-45c7-e611-afeb-00505698216f,3940
284,16234,B,32.165661,-28.396437,68696d87-45c7-e611-afeb-00505698216f,1228
285,16235,B,32.165585,-28.397492,69696d87-45c7-e611-afeb-00505698216f,1230
286,16236,B,32.164425,-28.397812,6a696d87-45c7-e611-afeb-00505698216f,1231
287,16237,B,32.164506,-28.398259,6b696d87-45c7-e611-afeb-00505698216f,1231
288,16238,B,32.164132,-28.398465,6c696d87-45c7-e611-afeb-00505698216f,1231
289,16239,B,32.163613,-28.398171,6d696d87-45c7-e611-afeb-00505698216f,1248
290,16240,B,32.164467,-28.400643,6e696d87-45c7-e611-afeb-00505698216f,1236
291,16242,B,32.163617,-28.404551,6f696d87-45c7-e611-afeb-00505698216f,1245
292,16243,B,32.163487,-28.405755,70696d87-45c7-e611-afeb-00505698216f,1246
293,16244,B,32.160576,-28.406821,71696d87-45c7-e611-afeb-00505698216f,209
294,16245,B,32.136386,-28.374109,72696d87-45c7-e611-afeb-00505698216f,1394
295,16247,B,32.135227,-28.375291,73696d87-45c7-e611-afeb-00505698216f,1391
296,16248,B,32.13549,-28.37486,74696d87-45c7-e611-afeb-00505698216f,1391
297,16249,B,32.140144,-28.379474,75696d87-45c7-e611-afeb-00505698216f,3897
298,16250,B,32.141586,-28.378763,76696d87-45c7-e611-afeb-00505698216f,3899
299,16251,B,32.139888,-28.37805,77696d87-45c7-e611-afeb-00505698216f,3898
300,16252,B,32.140605,-28.378725,78696d87-45c7-e611-afeb-00505698216f,3898
301,16253,B,32.142749,-28.379717,79696d87-45c7-e611-afeb-00505698216f,3904
302,16254,B,32.14323,-28.380247,7a696d87-45c7-e611-afeb-00505698216f,3903
303,16255,B,32.137241,-28.374939,7b696d87-45c7-e611-afeb-00505698216f,1393
304,16256,B,32.142898,-28.37352,7c696d87-45c7-e611-afeb-00505698216f,3901
305,16257,B,32.121681,-28.41119,7d696d87-45c7-e611-afeb-00505698216f,918
307,16259,B,32.111891,-28.402196,7f696d87-45c7-e611-afeb-00505698216f,1377
308,16260,B,32.098086,-28.405916,80696d87-45c7-e611-afeb-00505698216f,952
309,16261,B,32.099913,-28.405131,81696d87-45c7-e611-afeb-00505698216f,950
310,16262,B,32.102259,-28.405488,82696d87-45c7-e611-afeb-00505698216f,949
311,16263,B,32.102732,-28.405455,83696d87-45c7-e611-afeb-00505698216f,949
312,16287,B,32.11204,-28.41757,84696d87-45c7-e611-afeb-00505698216f,3807
313,16288,B,32.11225,-28.418602,85696d87-45c7-e611-afeb-00505698216f,3807
314,16318,B,32.154564,-28.409767,86696d87-45c7-e611-afeb-00505698216f,172
315,16319,B,32.154576,-28.410005,87696d87-45c7-e611-afeb-00505698216f,171
316,16320,B,32.153832,-28.411268,88696d87-45c7-e611-afeb-00505698216f,170
317,16321,B,32.153954,-28.410835,89696d87-45c7-e611-afeb-00505698216f,171
318,16322,B,32.153443,-28.410419,8a696d87-45c7-e611-afeb-00505698216f,171
319,16323,B,32.152744,-28.409837,8b696d87-45c7-e611-afeb-00505698216f,224
320,21135,B,32.064145,-28.358525,8c696d87-45c7-e611-afeb-00505698216f,3540
321,21137,B,32.063474,-28.357991,8d696d87-45c7-e611-afeb-00505698216f,3540
322,21138,B,32.050709,-28.402733,8e696d87-45c7-e611-afeb-00505698216f,3753
323,21139,B,32.051014,-28.40384,8f696d87-45c7-e611-afeb-00505698216f,3753
324,21140,B,32.05156,-28.404198,90696d87-45c7-e611-afeb-00505698216f,3753
325,21141,B,32.050995,-28.404652,91696d87-45c7-e611-afeb-00505698216f,3754
327,21144,B,32.081087,-28.357978,93696d87-45c7-e611-afeb-00505698216f,4177
328,21145,B,32.081975,-28.357751,94696d87-45c7-e611-afeb-00505698216f,4177
329,21146,B,32.081926,-28.357247,95696d87-45c7-e611-afeb-00505698216f,4176
330,21147,B,32.082944,-28.356864,96696d87-45c7-e611-afeb-00505698216f,4176
331,21148,B,32.082555,-28.357949,97696d87-45c7-e611-afeb-00505698216f,4176
332,21149,B,32.083196,-28.358905,98696d87-45c7-e611-afeb-00505698216f,4177
333,21150,B,32.084535,-28.358773,99696d87-45c7-e611-afeb-00505698216f,4178
334,21151,B,32.083833,-28.358056,9a696d87-45c7-e611-afeb-00505698216f,4178
335,21152,B,32.084792,-28.356827,9b696d87-45c7-e611-afeb-00505698216f,4178
336,21153,B,32.086752,-28.356496,9c696d87-45c7-e611-afeb-00505698216f,4179
337,11546,B,32.08122,-28.387397,9d696d87-45c7-e611-afeb-00505698216f,4154
338,11547,B,32.13861,-28.401433,9e696d87-45c7-e611-afeb-00505698216f,1327
